Rows,TensorFlow (NE-CD),TensorFlow (COD),PyTorch (QRCP),PyTorch (QR),PyTorch (SVD),PyTorch (SVDDC),scikit-learn (SVDDC)
$10^{1}$,0.006,0.007,0.005,0.005,0.005,0.011,0.01
$10^{1.5}$,0.012,0.011,0.008,0.007,0.007,0.012,0.015
$10^{2}$,0.028,0.027,0.014,0.013,0.013,0.018,0.025
$10^{2.5}$,0.083,0.075,0.031,0.03,0.03,0.035,0.066
$10^{3}$,0.184,0.228,0.086,0.085,0.085,0.09,0.186
$10^{3.5}$,0.433,0.713,0.259,0.258,0.258,0.263,0.567
$10^{4}$,1.516,2.244,0.806,0.805,0.805,0.81,1.77
$10^{4.5}$,4.629,7.088,2.536,2.535,2.535,2.54,5.575
$10^{5}$,14.476,22.404,8.006,8.005,8.005,8.01,17.61
$10^{5.5}$,27.833,70.839,25.304,25.303,25.303,25.308,55.666
$10^{6}$,144.076,224.004,80.006,80.005,80.005,80.01,176.01
$10^{6.5}$,455.444,708.354,252.988,252.987,252.987,252.992,556.677
$10^{7}$,1440.076,2240.004,800.006,800.005,800.005,800.01,1760.01
$10^{7.5}$,4553.755,7083.506,2529.828,2529.827,2529.827,2529.832,5565.619
$10^{8}$,14400.076,22400.004,8000.006,8000.005,8000.005,8000.01,17600.01
$10^{8.5}$,45536.874,70835.024,25298.227,25298.226,25298.226,25298.231,55656.097
