cholesterol,liver-disorders,analcatdata_negotiation
51.7123,3.3625,0.8798
51.5497,3.0194,0.8798
52.8186,3.1906,0.8798
50.7554,3.1227,0.8798
51.7123,3.4814,0.831
51.5497,3.3099,0.831
51.7123,3.1701,0.831
51.5502,4.8007,0.8319
50.9577,3.1541,0.8798
51.3973,3.1741,0.8798
51.7123,3.3883,0.8798
51.5497,3.1741,0.8798
52.8186,3.1741,0.831
50.7554,3.1741,0.831
51.7123,3.1741,0.831
51.5497,3.0385,0.8319
51.7123,3.3625,0.8798
51.5502,3.1741,0.8798
50.9577,3.3835,0.8798
51.3973,3.0194,0.8798
63.7676,3.1906,0.831
63.6288,3.1227,0.831
65.4624,3.4814,0.831
55.1652,3.3099,0.8319
55.97,3.1701,0.8798
55.6583,4.8007,0.831
55.4109,3.1541,0.8904
190.9436,3.1741,0.8306
54.3928,3.3883,0.8798
202.1232,3.1741,0.831
151.5614,3.1741,0.8798
64.0785,3.1741,0.8319
63.6887,3.1741,1.1966
63.2086,3.0385,1.1124
64.8438,3.3625,0.8798
65.82,3.1741,0.831
64.1977,3.3835,0.8904
62.7597,4.8007,0.8306
62.9042,2.9414,0.8798
64.6399,3.1156,0.831
65.7143,4.8007,0.8798
53.8119,4.0664,0.8319
58.6393,3.8662,1.1966
55.6863,3.9115,1.1124
55.3348,3.5701,0.7891
59.3861,3.6892,6.0397
57.6023,4.0484,6.0397
147.0281,4.0073,6.0397
56.8712,5.1225,6.1157
59.9368,4.7612,0.8863
63.439,,
63.7465,,
57.9225,,
57.5702,,
56.5306,,
64.7873,,
58.4481,,
65.3439,,
64.942,,
57.2302,,
4441564752774.618,,
9525887890.3001,,
4179571006183.258,,
9030042873457.832,,
3602297595411.3,,
10538819373.2382,,
41666206688638.11,,
1152860753634.5981,,
4170117686522.572,,
8371385969492.845,,
5053386026118.446,,
5853972790069.429,,
4087071994925.171,,
8014999963784.194,,
16207922014.0887,,
14076849756.1322,,
11524465812.6911,,
82787447475.9997,,
994723117617.5493,,
541681272663.9617,,
8954621763.5024,,
7312081378.383,,
10238332804.0531,,
3925183694757.4233,,
5216707624042.598,,
5236553694777.805,,
4392893850288.733,,
4089148260777.269,,
6044703958102.076,,
88101157320498.12,,
2108595323916.6838,,
5676874781.9453,,
4844891791315.534,,
4985277069301.694,,
4625326253389.042,,
5195293097830.672,,
5038126514821.084,,
4805241907505.43,,
2106278851502.2378,,
34289531543528.0,,
