,sklearn-least_squares,sklearn-stochastic_gradient_descent,tensorflow-least_squares-fast,tensorflow-least_squares-unfast,pytorch-least_squares,mxnet_least_squares
0,4.460934916174901,15.783309102102008,4.9781242067642015,4.978124206764227,4.978124460391359,4.978124206764227
1,4.629157673900822,16.317818902666954,5.018917798372944,5.018917798373035,5.018915158426247,5.01891779837291
2,4.455548169620014,16.089953307286073,5.025928458930772,5.025928458930789,5.025927269755752,5.025928458930803
3,4.503354949787512,15.953194999067154,5.0177350994030805,5.017735099403062,5.017734754074056,5.017735099403142
4,4.723822159009824,15.818693977947646,5.105148591290611,5.105148591290679,5.105141666365689,5.105148591290762
5,4.49159886206311,15.85012227440105,5.0034539065669295,5.003453906566994,5.003450401727912,5.003453906566844
6,4.6632756469316865,15.683700353009973,5.025630373967678,5.025630373967408,5.025625648335011,5.025630373967551
7,4.516765568296276,15.814401475755789,5.088949815663152,5.08894981566313,5.088950294324101,5.088949815663113
8,4.474365382193981,16.41423395889656,4.970706196432388,4.970706196432401,4.970705858191132,4.97070619643239
9,4.681861644092167,15.878300661543431,5.273784432126363,5.273784432126399,5.273783805121739,5.273784432126387
